"ds-dex-table-row href","ds-dex-table-row-badge-pair-no","ds-dex-table-row-dex-icon src","ds-dex-table-row-token-icon-img src","ds-dex-table-row-badge","ds-dex-table-row-base-token-symbol","ds-dex-table-row-quote-token-symbol","ds-dex-table-row-base-token-name-text","ds-table-data-cell","ds-table-data-cell 2","ds-table-data-cell 3","ds-table-data-cell 4","ds-table-data-cell 5","ds-change-perc","ds-change-perc 2","ds-change-perc 3","ds-change-perc 4","ds-table-data-cell 6","ds-table-data-cell 7","ds-table-empty-val","chakra-text","chakra-text 2"
"https://dexscreener.com/pulsechain/0x53a3a52b51cf0093397c36cf3488a7e7142e9862","#142","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/af1d0aee448e13796f326ec6ceb40f004d060864ebf9c1e436e9b2981ff97ab7?width=64&height=64&fit=crop&quality=95&format=auto","v2","PCOCK","EMIT","PulseChain Peacock","$0.01832","5mo","30","$109","30","","","1.55%","15.27%","$2.6K","$15.4M","-","",""
"https://dexscreener.com/pulsechain/0x30448b9d95d7520b71a6420f7169f80ceab7b057","#143","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/d895f39978f78935e2aec150ff3619c1d514ba2270f50d635abbdfb3f64b86dd?width=64&height=64&fit=crop&quality=95&format=auto","v1","PHEN","WPLS","PulseChain Peahen","$0.0001294","2mo","169","$1.7K","111","","-0.64%","3.20%","12.24%","$17K","$64K","-","",""
"https://dexscreener.com/pulsechain/0xf7576a3d15564a258a390128b38c716f8ca01d40","#144","https://dd.dexscreener.com/ds-data/dexes/9mm.png","https://cdn.dexscreener.com/cms/images/af1d0aee448e13796f326ec6ceb40f004d060864ebf9c1e436e9b2981ff97ab7?width=64&height=64&fit=crop&quality=95&format=auto","V3","PCOCK","HEX","PulseChain Peacock","$0.01904","3d","10","$4","9","","","","12.91%","$2.9K","$19.0M","-","",""
"https://dexscreener.com/pulsechain/0xf25126a02160dd535f5e1d2fec716d43c6193c1b","#145","https://dd.dexscreener.com/ds-data/dexes/0x968bac75BAA5FC0C5c3fe0dedf638179CBA0cE04.png","https://cdn.dexscreener.com/cms/images/af1d0aee448e13796f326ec6ceb40f004d060864ebf9c1e436e9b2981ff97ab7?width=64&height=64&fit=crop&quality=95&format=auto","","PCOCK","WPLS","PulseChain Peacock","$0.01941","4mo","80","$154","54","","-1.64%","1.12%","15.45%","$1.0K","$19.4M","-","",""
"https://dexscreener.com/pulsechain/0x784c14a8b384aef8aeffda462fe0c50e4b01b00a","#146","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/af1d0aee448e13796f326ec6ceb40f004d060864ebf9c1e436e9b2981ff97ab7?width=64&height=64&fit=crop&quality=95&format=auto","v2","PCOCK","DRDOGE","PulseChain Peacock","$0.01939","2mo","78","$112","51","","-2.09%","0.84%","14.18%","$1.1K","$16.3M","-","",""
"https://dexscreener.com/pulsechain/0x051113414d57be8ccd2c84c0bfb6b932a4e2c45a","#147","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/af1d0aee448e13796f326ec6ceb40f004d060864ebf9c1e436e9b2981ff97ab7?width=64&height=64&fit=crop&quality=95&format=auto","v2","PCOCK","UFO","PulseChain Peacock","$0.01836","3d","16","$63","14","","","","16.34%","$1.9K","$15.5M","-","",""
"https://dexscreener.com/pulsechain/0xefab2c9c33c42960f2ff653adb39dc5c4c10630e","#148","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/7c71ddea617c4d6fe4a5cd6d35be79f0e09fe6c8fe9a36b9347c220325fe6225?width=64&height=64&fit=crop&quality=95&format=auto","v2","TIME","WPLS","T.I.M.E. Dividend","$0.001110","2y","223","$1.3K","159","","-0.67%","3.11%","2.54%","$20K","$2.2M","-","",""
"https://dexscreener.com/pulsechain/0x8e52f6c89becf3b3732a89f7d995979f0260371f","#149","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/38f4b2e53fe707a17ea8171c01dc4d6ceda344b6a352fe248a151c8a80bd59b8?width=64&height=64&fit=crop&quality=95&format=auto","v1","PLSX","USDT","PulseX","","2y","78","$214","52","1.01%","2.11%","5.10%","7.59%","$3.6K","$1.86B","","$0.01304","4"
"https://dexscreener.com/pulsechain/0x3dceaf41a2f1d50adf09fc8adabaf37491d5f718","#150","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/6ccf9986a5f479604e64a705d74ee0b7492d6bdbbfce7db9eaa65b2a51677196?width=64&height=64&fit=crop&quality=95&format=auto","v2","HARD","DAI","DaiHard","$0.03837","1y","138","$389","34","","","-2.28%","8.69%","$59K","$289K","-","",""
"https://dexscreener.com/pulsechain/0xe18b2ffef7273c31cae47da5011a319d8c4a1198","#151","https://dd.dexscreener.com/ds-data/dexes/pulsex.png","https://cdn.dexscreener.com/cms/images/52b3a9f79e1f3c4ba2d7cb05617e10d8b94d6a2ad7b9eb922c9852b458e3932b?width=64&height=64&fit=crop&quality=95&format=auto","v2","stETH","DAI","Liquid staked Ether 2.0","$0.01175","2y","240","$461","184","","-1.29%","33.23%","37.28%","$3.2K","$2.2M","-","",""
